Country,Subject Descriptor,Units,Scale,2020,2021,Estimates Start After
Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,20.136,n/a,2019
Afghanistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,80.912,n/a,2019
Albania,"Gross domestic product, current prices",U.S. dollars,Billions,14.828,16.77,2020
Albania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,40.784,44.493,2020
Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,147.6,163.812,2019
Algeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,497.091,532.567,2019
Andorra,"Gross domestic product, current prices",U.S. dollars,Billions,2.858,3.213,2020
Andorra,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,4.056,4.433,2020
Angola,"Gross domestic product, current prices",U.S. dollars,Billions,58.376,70.339,2020
Angola,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,211.775,217.97,2020
Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,Billions,1.37,1.405,2019
Antigua and Barbuda,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,1.789,1.871,2019
Argentina,"Gross domestic product, current prices",U.S. dollars,Billions,389.064,455.172,2020
Argentina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,942.232,"1,049.40",2020
Armenia,"Gross domestic product, current prices",U.S. dollars,Billions,12.641,13.612,2020
Armenia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,39.484,43.55,2020
Aruba,"Gross domestic product, current prices",U.S. dollars,Billions,2.497,2.865,2020
Aruba,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,3.329,3.89,2020
Australia,"Gross domestic product, current prices",U.S. dollars,Billions,"1,359.37","1,610.56",2020
Australia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,"1,330.47","1,427.26",2020
Austria,"Gross domestic product, current prices",U.S. dollars,Billions,432.524,481.209,2019
Austria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,493.588,531.413,2019
Azerbaijan,"Gross domestic product, current prices",U.S. dollars,Billions,42.607,52.645,2020
Azerbaijan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,146.12,155.866,2020
The Bahamas,"Gross domestic product, current prices",U.S. dollars,Billions,9.908,10.681,2019
The Bahamas,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,12.795,13.521,2019
Bahrain,"Gross domestic product, current prices",U.S. dollars,Billions,34.729,39.104,2020
Bahrain,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,74.445,79.01,2020
Bangladesh,"Gross domestic product, current prices",U.S. dollars,Billions,323.057,355.689,2020
Bangladesh,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,870.79,953.385,2020
Barbados,"Gross domestic product, current prices",U.S. dollars,Billions,4.418,4.648,2019
Barbados,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,3.836,4.105,2019
Belarus,"Gross domestic product, current prices",U.S. dollars,Billions,60.201,65.754,2020
Belarus,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,189.8,200.712,2020
Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,514.92,581.848,2020
Belgium,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,589.718,645.401,2020
Belize,"Gross domestic product, current prices",U.S. dollars,Billions,1.706,1.909,2020
Belize,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,2.567,2.885,2020
Benin,"Gross domestic product, current prices",U.S. dollars,Billions,15.674,18.067,2019
Benin,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,42.493,46.451,2019
Bhutan,"Gross domestic product, current prices",U.S. dollars,Billions,2.503,2.48,2020
Bhutan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,8.987,9.132,2020
Bolivia,"Gross domestic product, current prices",U.S. dollars,Billions,36.839,38.547,2020
Bolivia,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,96.592,105.026,2020
Bosnia and Herzegovina,"Gross domestic product, current prices",U.S. dollars,Billions,19.789,21.692,2020
Bosnia and Herzegovina,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,49.943,53.192,2020
Botswana,"Gross domestic product, current prices",U.S. dollars,Billions,15.064,17.605,2020
Botswana,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,36.35,41.11,2020
Brazil,"Gross domestic product, current prices",U.S. dollars,Billions,"1,444.72","1,645.84",2020
